archivo,fila,motivo,registro
cuadra.DBF,339,OPERADOR vacio,"{'NUMERO': 340, 'FECHA': datetime.date(2018, 12, 13), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 0, 'OTROS_V': 3500, 'DEPOSITO_V': 3500, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,377,OPERADOR vacio,"{'NUMERO': 380, 'FECHA': datetime.date(2018, 12, 20), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 55000, 'OTROS_V': 0, 'DEPOSITO_V': 55000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,394,OPERADOR vacio,"{'NUMERO': 397, 'FECHA': datetime.date(2018, 12, 22), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 3000, 'OTROS_V': 0, 'DEPOSITO_V': 3000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,399,OPERADOR vacio,"{'NUMERO': 402, 'FECHA': datetime.date(2018, 12, 23), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 0, 'OTROS_V': 3500, 'DEPOSITO_V': 3500, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,414,OPERADOR vacio,"{'NUMERO': 417, 'FECHA': datetime.date(2018, 12, 26), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 230000, 'OTROS_V': 0, 'DEPOSITO_V': 230000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,477,OPERADOR vacio,"{'NUMERO': 482, 'FECHA': datetime.date(2019, 1, 7), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 35000, 'OTROS_V': 0, 'DEPOSITO_V': 35000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,494,OPERADOR vacio,"{'NUMERO': 499, 'FECHA': datetime.date(2019, 1, 10), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 73500, 'OTROS_V': 0, 'DEPOSITO_V': 73500, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,11862,Fecha invalida o fuera de rango,"{'NUMERO': 11995, 'FECHA': datetime.date(6204, 5, 10), 'TURNO': 3, 'OPERADOR': '1018', 'COMBUST_V': 0, 'OTROS_V': 0, 'DEPOSITO_V': 0, 'VENTAS_V': 1128096, 'TRANSBNK_V': 823983, 'TRANSFER_V': 0, 'PILOTO_V': 55103}"
deposito.DBF,3,Fecha invalida o fuera de rango,"{'NUMERO': 3, 'FECHA': datetime.date(208, 10, 19), 'TURNO': 1, 'OPERADOR': '1009', 'POR_20K': 6, 'POR_10K': 9, 'POR_05K': 30, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 120000, 'VAL_10K': 90000, 'VAL_05K': 150000, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 360000, 'TOTAL_V': 360000}"
deposito.DBF,70,OPERADOR vacio,"{'NUMERO': 70, 'FECHA': datetime.date(2018, 10, 21), 'TURNO': 1, 'OPERADOR': '', 'POR_20K': 7, 'POR_10K': 4, 'POR_05K': 4, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 140000, 'VAL_10K': 40000, 'VAL_05K': 20000, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 200000, 'TOTAL_V': 200000}"
